'7.228883333333333', '79.99172166666666'
'7.228586666666667', '79.99346833333334'
'7.228283333333334', '79.99533333333333'
'7.227988333333333', '79.99721833333334'
'7.227703333333333', '79.99893333333333'
'7.227525', '79.999955'
'7.227206666666667', '80.00176'
'7.226891666666667', '80.003575'
'7.2265733333333335', '80.00544333333333'
'7.226275', '80.00719333333333'
'7.225965', '80.00896333333333'
'7.22567', '80.01078666666666'
'7.225428333333333', '80.01274'
'7.2251666666666665', '80.01465333333333'
'7.22494', '80.01655'
'7.224728333333333', '80.0183'
'7.224708333333333', '80.019365'
'7.22486', '80.01951166666667'
'7.225631666666667', '80.02026333333333'
'7.226371666666667', '80.021065'
'7.227328333333333', '80.02208166666667'
'7.228108333333333', '80.02301666666666'
'7.228963333333334', '80.02398666666667'
'7.230061666666667', '80.02471'
'7.231418333333333', '80.02496833333333'
'7.232836666666667', '80.02517333333333'
'7.234365', '80.02528333333333'
'7.235766666666667', '80.02532833333333'
'7.236165', '80.02533166666667'
'7.23731', '80.02541'
'7.238888333333334', '80.02573333333333'
'7.240451666666667', '80.02636833333334'
'7.24194', '80.02712666666666'
'7.243126666666667', '80.02801833333334'
'7.244145', '80.02911666666667'
'7.24511', '80.03027666666667'
'7.24597', '80.03122'
'7.246788333333333', '80.03228333333334'
'7.247818333333333', '80.03353666666666'
'7.249041666666667', '80.03469666666666'
'7.250181666666666', '80.03577833333334'
'7.251031666666667', '80.03704333333333'
'7.251563333333333', '80.03821833333333'
'7.25225', '80.03916333333333'
'7.252878333333333', '80.04008'
'7.253495', '80.04093666666667'
'7.253473333333333', '80.04117666666667'
'7.253423333333333', '80.04121666666667'
'7.253241666666667', '80.04137'
'7.252775', '80.041635'
'7.252696666666667', '80.04167666666666'
'7.252665', '80.04167166666667'
'7.252641666666666', '80.04156166666667'
'7.25259', '80.04143333333333'
'7.2524983333333335', '80.04144666666667'
'7.2525', '80.04144666666667'
'7.252501666666666', '80.04144666666667'
'7.252508333333333', '80.04145'
'7.252543333333334', '80.04143833333333'
'7.25259', '80.04147166666667'
'7.252588333333334', '80.04146166666666'
'7.252588333333334', '80.04143666666667'
'7.252585', '80.04142333333333'
'7.25258', '80.04142666666667'
'7.252578333333333', '80.04143333333333'
'7.25258', '80.04142833333333'
'7.252588333333334', '80.04141'
'7.25259', '80.0414'
'7.252598333333333', '80.04139166666667'
'7.2525933333333334', '80.041375'
'7.2526', '80.04136333333334'
'7.252596666666666', '80.04135833333333'
'7.252588333333334', '80.04134833333333'
'7.252453333333333', '80.04114333333334'
'7.252465', '80.04113833333334'
'7.252456666666666', '80.04113666666667'
'7.252463333333333', '80.04113833333334'
'7.252478333333333', '80.04126333333333'
'7.252513333333333', '80.04143'
'7.25257', '80.04153'
'7.252603333333333', '80.04152833333333'
'7.2526166666666665', '80.04151666666667'
'7.252613333333334', '80.04152'
'7.252628333333333', '80.04159166666666'
'7.25263', '80.041595'
'7.252631666666667', '80.04159666666666'
'7.252635', '80.04159666666666'
'7.252636666666667', '80.04159833333334'
'7.252636666666667', '80.0416'
'7.2526383333333335', '80.04160166666666'
'7.25264', '80.04160333333333'
'7.25264', '80.04160666666667'
'7.252716666666666', '80.041695'
'7.25286', '80.04163666666666'
'7.253228333333333', '80.04141666666666'
'7.253505', '80.041225'
'7.25354', '80.04109666666666'
'7.25342', '80.04091833333334'
'7.252816666666667', '80.040045'
'7.25178', '80.03859'
'7.251046666666666', '80.03713833333333'
'7.250026666666667', '80.035685'
'7.248671666666667', '80.034385'
'7.24738', '80.03311666666667'
'7.246465', '80.03184'
'7.24524', '80.03049'
'7.2441', '80.02911666666667'
'7.242943333333334', '80.02789833333334'
'7.241738333333333', '80.02705'
'7.240268333333334', '80.02631666666667'
'7.238785', '80.025755'
'7.2371533333333335', '80.025455'
'7.235675', '80.02537833333334'
'7.234188333333333', '80.02530833333333'
'7.232641666666667', '80.02520666666666'
'7.231083333333333', '80.02495'
'7.23012', '80.02475833333334'
'7.229', '80.024035'
